Celeb Name,Actor/Actress,Recent Movie
 Shah Rukh Khan,Actor,Don2
 Aamir Khan,Actor,TaareZameenPar
 Salman Khan,Actor,Sultan
 Katrina Kaif,Actress,ZindagiNaMilegiDobara
 Kareena Kapoor,Actress,JabWeMet
 Karisma Kapoor,Actress,DilToPagalHai
 Hrithik Roshan,Actor,Super30
 Priyanka Chopra,Actress,Baywatch
 Amitabh Bachchan,Actor,Black
 Ranbir Kapoor,Actor,Rockstar
 Anushka Sharma,Actress,JabTakHaiJaan
 Imran Khan,Actor,JaaneTu...YaJaaneNa
 Deepika Padukone,Actress,YehJawaaniHaiDeewani
 Ali Zafar,Actor,TeefainTrouble
 Akshay Kumar,Actor,HeraPheri
 Aishwarya Rai Bachchan,Actress,JodhaaAkbar
 Rani Mukherjee,Actress,TumhareLiye
 John Abraham,Actor,Dhoom
 Bipasha Basu,Actress,Race
 Rajinikanth,Actor,Enthiran
 Asin Thottumkal,Actress,Ghajini
 Dilip Kumar,Actor,GungaJumna
 Hema Malini,Actress,Sholay
 Madhuri Dixit,Actress,Devdas
 Govinda,Actor,Partner
 Mahie Gill,Actress,Dev.D
 Preity Zinta,Actress,Veer-Zaara
 Arshad Warsi,Actor,MunnaBhaiM.B.B.S.
 Shilpa Shetty Kundra,Actress,LifeinaMetro
 Kajol,Actress,KuchKuchHotaHai
 Sunny Deol,Actor,Ghayal
 Urmila Matondkar,Actress,Bhoot
 Saif Ali Khan,Actor,Kalhonaaho
 Juhi Chawla,Actress,Darr
 Tusshar Kapoor,Actor,Golmaal:FunUnlimited
 Lara Dutta,Actress,Don2
 Anil Kapoor,Actor,SlumdogMillionaire
 Jacqueline Fernandez,Actress,Aladin
 Ranveer Singh,Actor,GullyBoy
 Madhavan,Actor,VikramVedha
 Minissha Lamba,Actress,WellDoneAbba!
 Shreyas Talpade,Actor,OmShantiOm
 Shahid Kapoor,Actor,Haider
 Sonam Kapoor,Actress,Neerja
 Genelia D'Souza,Actress,JaaneTu...YaJaaneNa
 Irrfan Khan,Actor,Dabba
 Sonakshi Sinha,Actress,Dabangg
 Parineeti Chopra,Actress,HaseeTohPhasee
 Vidya Balan,Actress,Kahaani
 Bobby Deol,Actor,Barsaat
 Dharmendra,Actor,Sholay
 Zareen Khan,Actress,Housefull2
 Shazahn Padamsee,Actress,Housefull2
 Riteish Deshmukh,Actor,EkVillain
 Neil Nitin Mukesh,Actor,JohnnyGaddaar
 Naseeruddin Shah,Actor,TheLeagueofExtraordinaryGentlemen
 Sharman Joshi,Actor,3Idiots
 Paresh Rawal,Actor,HeraPheri
 Akshaye Khanna,Actor,DilChahtaHai
 Twinkle Khanna,Actress,Barsaat
 Shriya Saran,Actress,Drishyam
 Mugdha Godse,Actress,Fashion
 Rajeev Khandelwal,Actor,Aamir
 Omi Vaidya,Actor,3Idiots
 Aditi Rao Hydari,Actress,Padmaavat
 Celina Jaitly,Actress,NoEntry
 Mithun Chakraborty,Actor,OMG:OhMyGod!
 Yami Gautam,Actress,Kaabil
 Ayushmann Khurrana,Actor,Andhadhun
 Ajay Devgn,Actor,Shivaay
 Kangana Ranaut,Actress,Queen
 Zayed Khan,Actor,MainHoonNa
 Sameera Reddy,Actress,Race
 Ameesha Patel,Actress,KahoNaa...PyaarHai
 Jaaved Jaffery,Actor,TheForest
 Sanjay Dutt,Actor,MunnaBhaiM.B.B.S.
 Abhay Deol,Actor,ZindagiNaMilegiDobara
 Kalki Koechlin,Actress,YehJawaaniHaiDeewani
 Prachi Desai,Actress,OnceUponaTimeinMumbaai
 Manoj Bajpayee,Actor,GangsofWasseypur
 Sonu Sood,Actor,JodhaaAkbar
 Neha Dhupia,Actress,TumhariSulu
 Vinay Pathak,Actor,BhejaFry
 Abhishek Bachchan,Actor,HappyNewYear
 Sridevi,Actress,EnglishVinglish
 Arjun Rampal,Actor,OmShantiOm
 Farhan Akhtar,Producer,ZindagiNaMilegiDobara
 Vivek Oberoi,Actor,Company
 Manisha Koirala,Actress,DilSe..
 Tabu,Actress,Haider
 Isha Koppikar,Actress,Don
 Sushmita Sen,Actress,MainHoonNa
 Amrita Rao,Actress,MainHoonNa
 Chitrangda Singh,Actress,YehSaaliZindagi
 Arjun Kapoor,Actor,Gunday
 Emraan Hashmi,Actor,OnceUponaTimeinMumbaai
 Mallika Sherawat,Actress,Murder
 Nawazuddin Siddiqui,Actor,BajrangiBhaijaan
 Aditya Roy Kapoor,Actor,Aashiqui2
 Sunny Leone,Actress,Lies:DiaryofanEscort
